"genotype","BLUP","env","trait","model"
"L055",15.9386590597984,"Hunter.2025","DTE","GIBD"
"L056",15.9719205222544,"Hunter.2025","DTE","GIBD"
"L057",16.0367074372332,"Hunter.2025","DTE","GIBD"
"L058",15.9726760595232,"Hunter.2025","DTE","GIBD"
"L059",16.0355795531636,"Hunter.2025","DTE","GIBD"
"L060",16.068943803185,"Hunter.2025","DTE","GIBD"
"L061",16.0381067061474,"Hunter.2025","DTE","GIBD"
"L062",15.9718974766573,"Hunter.2025","DTE","GIBD"
"L063",16.0018048588061,"Hunter.2025","DTE","GIBD"
"L064",16.0033513153953,"Hunter.2025","DTE","GIBD"
"L065",16.0062259176159,"Hunter.2025","DTE","GIBD"
"L066",15.9886278123446,"Hunter.2025","DTE","GIBD"
"L067",16.0359391668095,"Hunter.2025","DTE","GIBD"
"L068",16.0196438543252,"Hunter.2025","DTE","GIBD"
"L069",16.0352260941757,"Hunter.2025","DTE","GIBD"
"L070",16.0193891579592,"Hunter.2025","DTE","GIBD"
"L071",16.0040970917272,"Hunter.2025","DTE","GIBD"
"L072",16.004970771387,"Hunter.2025","DTE","GIBD"
"L073",15.9878219270648,"Hunter.2025","DTE","GIBD"
"L074",16.0208604089283,"Hunter.2025","DTE","GIBD"
"L075",15.9705818197098,"Hunter.2025","DTE","GIBD"
"L076",15.9875200979451,"Hunter.2025","DTE","GIBD"
"L077",16.0209828950344,"Hunter.2025","DTE","GIBD"
"L078",16.039485775079,"Hunter.2025","DTE","GIBD"
"L079",15.9716174632844,"Hunter.2025","DTE","GIBD"
"L080",16.0514213957078,"Hunter.2025","DTE","GIBD"
"L081",16.0061653949537,"Hunter.2025","DTE","GIBD"
"L082",15.988190779154,"Hunter.2025","DTE","GIBD"
"L083",15.9717525507224,"Hunter.2025","DTE","GIBD"
"L084",16.0365429252332,"Hunter.2025","DTE","GIBD"
"L085",15.9709266877334,"Hunter.2025","DTE","GIBD"
"L086",16.0056540236484,"Hunter.2025","DTE","GIBD"
"L087",15.9875006112535,"Hunter.2025","DTE","GIBD"
"L088",15.9872877524447,"Hunter.2025","DTE","GIBD"
"L089",16.0036137006526,"Hunter.2025","DTE","GIBD"
"L090",15.9725118902202,"Hunter.2025","DTE","GIBD"
"L091",16.0992319550998,"Hunter.2025","DTE","GIBD"
"L092",15.9721880869669,"Hunter.2025","DTE","GIBD"
"L093",16.0041178065816,"Hunter.2025","DTE","GIBD"
"L094",16.0357805429042,"Hunter.2025","DTE","GIBD"
"L095",16.0035178325238,"Hunter.2025","DTE","GIBD"
"L096",15.9710720389739,"Hunter.2025","DTE","GIBD"
"L097",16.0209469136444,"Hunter.2025","DTE","GIBD"
"L098",16.0021676542036,"Hunter.2025","DTE","GIBD"
"L099",16.0193065598278,"Hunter.2025","DTE","GIBD"
"L100",16.0198459283194,"Hunter.2025","DTE","GIBD"
"CL1",52.9343368739909,"Clavet.2024","DTF","GIBD"
"CL2",54.6273660456477,"Clavet.2024","DTF","GIBD"
"CL3",55.2304843717626,"Clavet.2024","DTF","GIBD"
"Extra",52.1754070903185,"Clavet.2024","DTF","GIBD"
"L001",56.0014606852299,"Clavet.2024","DTF","GIBD"
"L002",52.7600732897382,"Clavet.2024","DTF","GIBD"
"L003",52.0591410369655,"Clavet.2024","DTF","GIBD"
"L004",51.7704298433103,"Clavet.2024","DTF","GIBD"
"L005",53.3071401500859,"Clavet.2024","DTF","GIBD"
"L006",55.3288697275723,"Clavet.2024","DTF","GIBD"
"L007",54.2916487256645,"Clavet.2024","DTF","GIBD"
"L008",53.1050765567426,"Clavet.2024","DTF","GIBD"
"L009",52.970971793711,"Clavet.2024","DTF","GIBD"
"L010",54.3955653147798,"Clavet.2024","DTF","GIBD"
"L011",54.3879880051879,"Clavet.2024","DTF","GIBD"
"L012",56.9505087069086,"Clavet.2024","DTF","GIBD"
"L013",53.4125984625645,"Clavet.2024","DTF","GIBD"
"L014",54.3297088901905,"Clavet.2024","DTF","GIBD"
"L015",52.3644493596393,"Clavet.2024","DTF","GIBD"
"L016",52.6189836526475,"Clavet.2024","DTF","GIBD"
"L017",52.5585331948604,"Clavet.2024","DTF","GIBD"
