"genotype","BLUP_combined","trait","Genotype","dev_year"
"L025",89.6067066332516,"DTM","L025",2026
"L026",89.1269198030785,"DTM","L026",2025
"L027",86.5731738278534,"DTM","L027",2026
"L028",87.7148902827216,"DTM","L028",2025
"L029",86.6095395843556,"DTM","L029",2026
"L030",90.1262939510303,"DTM","L030",2025
"L031",87.1120956737936,"DTM","L031",2026
"L032",87.4440310236948,"DTM","L032",2026
"L033",89.3581105708544,"DTM","L033",2026
"L034",89.5305168191123,"DTM","L034",2026
"L035",87.1550414269313,"DTM","L035",2026
"L036",87.7999568028024,"DTM","L036",2026
"L037",88.3543111230483,"DTM","L037",2026
"L038",89.3977360021205,"DTM","L038",2026
"L039",87.997596610148,"DTM","L039",2026
"L040",88.5897779602332,"DTM","L040",2026
"L041",88.8507281785724,"DTM","L041",2026
"L042",89.397952278391,"DTM","L042",2026
"L043",88.1798970448046,"DTM","L043",2026
"L044",89.7115915171157,"DTM","L044",2026
"L045",90.380541543555,"DTM","L045",2027
"L046",89.1917015297148,"DTM","L046",2027
"L047",89.6153051275659,"DTM","L047",2026
"L048",88.2771884115303,"DTM","L048",2026
"L049",89.196551825321,"DTM","L049",2026
"L050",88.2494378544807,"DTM","L050",2027
"L051",87.7732742947034,"DTM","L051",2027
"L052",88.865314377692,"DTM","L052",2027
"L053",89.1811294428545,"DTM","L053",2027
"L054",86.552932404845,"DTM","L054",2027
"L055",90.0350730327831,"DTM","L055",2014
"L056",90.8119025613771,"DTM","L056",2016
"L057",87.0639555422469,"DTM","L057",2017
"L058",89.9319235122516,"DTM","L058",2018
"L059",90.4129889318738,"DTM","L059",2018
"L060",87.76278120042,"DTM","L060",2018
"L061",90.0983553472049,"DTM","L061",2019
"L062",90.2828059931617,"DTM","L062",2020
"L063",88.6311400331047,"DTM","L063",2019
"L064",87.9347567680966,"DTM","L064",2019
"L065",89.5530007062128,"DTM","L065",2019
"L066",88.634361720593,"DTM","L066",2019
"L067",85.9994442316511,"DTM","L067",2019
"L068",90.6290033227229,"DTM","L068",2019
"L069",88.6300646065345,"DTM","L069",2019
"L070",89.0974267175913,"DTM","L070",2019
"L071",91.2132642494938,"DTM","L071",2019
"L072",87.0086781117378,"DTM","L072",2019
"L073",85.3278262366444,"DTM","L073",2006
"L074",86.1294841139003,"DTM","L074",2006
"L075",86.8466947885263,"DTM","L075",2006
"L076",87.2613200591401,"DTM","L076",2014
"L077",87.6857963869576,"DTM","L077",2007
"L078",86.5005228630999,"DTM","L078",2008
"L079",90.0769047731313,"DTM","L079",2008
"L080",88.804198671615,"DTM","L080",2009
"L081",86.2519118714177,"DTM","L081",2008
"L082",88.2421171264641,"DTM","L082",2009
"L083",87.9355544385007,"DTM","L083",2010
"L084",88.8156891897293,"DTM","L084",2013
"L085",87.5615773426517,"DTM","L085",2014
"L086",89.2965084600194,"DTM","L086",2013
"L087",89.0540858481807,"DTM","L087",2013
"L088",86.6412414678046,"DTM","L088",2007
