"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"L016",1000.40782810065,1.13633272102472,537.899791924479,0.998902811741966,0.00054874468938431,TRUE,"YLD","Average stability"
"L017",1128.30277493854,1.11444280467907,1700.08214093381,0.996403689117763,0.0017997750362089,TRUE,"YLD","Average stability"
"L018",1051.81085108604,1.07410162904428,19569.2836505971,0.957189559651288,0.0216393509286628,TRUE,"YLD","Average stability"
"L019",929.583140940869,1.33816862575026,2488.22852161097,0.996349537720689,0.00182689992131685,TRUE,"YLD","Responsive / high-input adapted"
"L020",976.141433940608,1.17780387296728,8243.33861053446,0.984573308110375,0.00774332548963181,TRUE,"YLD","Average stability"
"L021",1087.76451977458,1.17880842175307,3204.66110875607,0.993955918132837,0.00302662115137825,TRUE,"YLD","Average stability"
"L022",959.328900819457,1.153985234858,3400.23791774611,0.993312523373093,0.00334934737738065,TRUE,"YLD","Average stability"
"L023",897.243076764914,1.03489800659264,1833.41523223554,0.995506575678132,0.00224924170505795,TRUE,"YLD","Average stability"
"L024",889.851286367299,1.13687302395652,4025.17026920015,0.991855279100954,0.00408068645047674,TRUE,"YLD","Average stability"
"L025",928.310773740592,0.894828045108176,8386.34516690096,0.973126127245492,0.0135284458001379,TRUE,"YLD","Average stability"
"L026",1046.05389875488,1.20096578251839,2439.41239335753,0.995560244354022,0.00222234723660924,TRUE,"YLD","Responsive / high-input adapted"
"L027",957.744426757683,0.980548959554164,3812.6714597231,0.989652366247623,0.00518727076518429,TRUE,"YLD","Average stability"
"L028",882.041168832268,0.925876543144416,40.022673902964,0.999876912474147,6.1545656860232e-05,TRUE,"YLD","Average stability"
"L029",970.128890883274,0.847907904256535,1175.72081701113,0.995706556311077,0.0021490310116059,TRUE,"YLD","Average stability"
"L030",875.743014344192,1.00500599362281,23752.2961841057,0.941613994313263,0.0296320314884344,TRUE,"YLD","Average stability"
"L031",1015.45779924075,1.00751639146873,11999.1838576833,0.969773669983798,0.0152291281806725,TRUE,"YLD","Average stability"
"L032",818.069824400913,0.69713611652279,10344.3425662983,0.946860056404373,0.02693265577126,TRUE,"YLD","Stable / low-input adapted"
"L033",870.560558133637,1.18995196454631,907.76815602691,0.998312475270843,0.000844118632711603,TRUE,"YLD","Average stability"
"L034",660.888789113659,0.801085465040753,16787.9193762798,0.935473483934918,0.0328012179831295,TRUE,"YLD","Average stability"
"L035",1095.89627563145,1.08814689461475,1907.64644206223,0.995769912053141,0.00211728542220912,TRUE,"YLD","Average stability"
"L036",861.146269344217,0.80633766409212,9467.70998390208,0.963024344334188,0.0186619622504242,TRUE,"YLD","Average stability"
"L037",935.600100170602,0.946708083476679,11133.98665455,0.968283262006029,0.0159861474521669,TRUE,"YLD","Average stability"
"L038",807.83411636539,1.06533304775142,2743.9591363489,0.993665467017552,0.00317229822925173,TRUE,"YLD","Average stability"
"L039",945.457589433042,0.708400935085378,20.1830364037411,0.999893964872396,5.30189693073474e-05,TRUE,"YLD","Stable / low-input adapted"
"L040",1034.0877857561,1.07829667637051,3751.98443496412,0.991563301983879,0.00422728397295443,TRUE,"YLD","Average stability"
"L041",1000.24195899156,1.08376134959147,3941.50310575246,0.991229260066894,0.00439502810256437,TRUE,"YLD","Average stability"
"L042",1029.67964110998,1.16575437873014,1704.76136163723,0.996703273404823,0.0016497240923789,TRUE,"YLD","Average stability"
"L043",1098.89562807436,1.06074551829391,1774.73652919256,0.995858319459287,0.00207298891187101,TRUE,"YLD","Average stability"
"L044",890.011583580866,1.03648509438064,646.16223362807,0.998416584834707,0.000792021231462227,TRUE,"YLD","Average stability"
"L045",985.471327070016,0.98739972595029,1770.24621321979,0.99523524055816,0.00238522436856422,TRUE,"YLD","Average stability"
"L046",1083.78377939887,1.01559504399241,6682.37150730185,0.983204197502056,0.00843346289719089,TRUE,"YLD","Average stability"
"L047",947.947612078653,0.863635463023747,2248.6488757126,0.992113404018661,0.00395110360050057,TRUE,"YLD","Average stability"
"L048",1083.35205662264,0.961225340976876,2695.57590638271,0.9923662018653,0.00382421136362684,TRUE,"YLD","Average stability"
"L049",1053.30398051916,1.17253974518093,1656.15361006812,0.99683381856697,0.00158434579230976,TRUE,"YLD","Average stability"
