"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L030",56.1125,1,0.607664225560117,101,102,0.246389915499582,88,89,0.772385228886654,88,89,3.81117232140294,100,101,1.94805324774217,98,99,0.312691041632713,102,103,0.0325918958391171,102,103,3.79491145603883,98,99,0.246809235007108,88,89,1.96095127324595,104,105,0.917804161662851,93,94,0.111453483222392,83,84,0.278150865542104,81,82
"L031",50.2375,94,0.16247318841935,64,158,0.223161881056927,83,177,0.70008082821237,83,177,2.18216169387258,77,171,1.15979518462959,76,170,0.140301913345219,49,143,0.00656154229610975,49,143,1.34512487028997,76,170,0.223187657224915,82,176,0.704302147381305,57,151,0.458972598438032,45,139,0.0829667162562397,67,161,0.23618015954615,72,166
"L032",52.4125,40,0.0288863984549084,16,56,0.0540283858604224,24,64,0.169373688146438,24,64,0.811172321402923,24,64,0.424391449182864,17,57,0.0683805497421284,15,55,0.00155863319434523,15,55,0.180108102139532,17,57,0.0541845815046033,20,60,0.423111571740388,34,74,0.219126702652884,12,52,0.0271181460919958,12,52,0.0684481360719308,11,51
"L033",53.625,21,0.286182862487974,82,103,0.0651514107826112,31,52,0.204251380493592,31,52,1.92761394715312,73,94,1.10630932350234,71,92,0.262218937609792,96,117,0.022919590413736,96,117,1.2239203192682,71,92,0.0900451402029036,37,58,0.702678916838314,56,77,0.728035598302163,78,99,0.0630599249044519,48,69,0.144543621380749,45,66
"L034",51.5625,71,0.104045028165043,44,115,0.0492986947577896,19,90,0.154542136780743,19,90,1.12238605284692,36,107,0.68310645422161,39,110,0.15526463244221,60,131,0.00803570202913819,60,131,0.466634427799221,39,110,0.0607008679798854,25,96,0.48321427853437,41,112,0.444649174175307,42,113,0.038819414674444,27,98,0.0886119297077412,24,95
"L035",51.525,73,0.0487558227430291,30,103,0.047343385215087,15,88,0.148414908009311,15,88,0.761172321402942,21,94,0.493537471749553,25,98,0.101496073771889,30,103,0.00343381766370291,30,103,0.243579236020941,25,98,0.0516282554424426,15,88,0.407340352998525,33,106,0.32528551467798,24,97,0.0317128012930783,18,91,0.0751728725917072,17,90
"L036",52.0625,54,0.0479861206925791,28,82,0.0581961806134313,27,81,0.182562650070121,27,81,0.782161693872563,23,77,0.488186732662896,24,78,0.103138404104379,32,86,0.00354584346706605,32,86,0.238326285948074,24,78,0.062872890310288,27,81,0.275707697924823,11,65,0.3275426515265,26,80,0.0361738452541541,24,78,0.0919180983457732,26,80
"L037",54.7,9,0.26021290437372,80,89,0.258696996480721,91,100,0.81151348890184,91,100,2.46783830612743,82,91,1.42039330477552,83,92,0.185949309907427,76,85,0.0115257152850161,76,85,2.01751714025112,83,92,0.258997556362712,90,99,0.971074042152289,81,90,0.771271459637336,85,94,0.121043591524924,88,97,0.332643967895414,89,98
"L038",53.7375,17,0.181040693596928,70,87,0.11884618759312,53,70,0.372580904834296,53,70,1.71117232140295,63,80,1.01485483779659,64,81,0.182559343188711,74,91,0.0111093045951646,74,91,1.02993034179915,64,81,0.122077213528959,53,70,0.940144128461458,78,95,0.641260571484038,72,89,0.0712110890076462,60,77,0.175713786327667,54,71
"L039",49.8375,99.5,0.142479160095167,60,159.5,0.168792597189598,69,168.5,0.529455880379799,69,168.5,1.69668771265829,61,160.5,1.00316742062696,63,162.5,0.146656921638003,54,153.5,0.00716941755477847,54,153.5,1.00634487380735,63,162.5,0.169692046795528,70,169.5,0.741901651500689,60,159.5,0.631521663682964,70,169.5,0.0895739445161767,73,172.5,0.24015466941279,73,172.5
"L040",52.6625,34,0.0335543252143786,18,52,0.0438881023761941,13,47,0.137590675726984,13,47,0.688827678597069,14,48,0.41843370922331,16,50,0.0825288377070145,22,56,0.00227033635109024,22,56,0.175086769014378,16,50,0.0466380130510844,11,45,0.357012443633208,25,59,0.281850950001344,18,52,0.0293945597246191,15,49,0.0714232452991082,14,48
"L041",52.4875,36.5,0.00722840990794817,2,38.5,0.0406367988916968,8,44.5,0.127476463786911,8,44.5,0.417838306127407,2,38.5,0.229535333681903,2,38.5,0.0327658802795945,2,38.5,0.000357867636832241,2,38.5,0.0526864694084627,2,38.5,0.0408789816837826,6,42.5,0.15026208390466,3,39.5,0.13698813666991,2,38.5,0.0197986724976595,4,40.5,0.0536221616393974,4,40.5
"L042",53.35,25,0.110801496994467,46,71,0.1845183571359,74,99,0.578852599424386,74,99,1.86783830612744,70,95,0.958277258190719,57,82,0.11576092590947,40,65,0.00446686398913923,40,65,0.918295303565521,57,82,0.184535112531788,74,99,0.581083569358819,47,72,0.37161174140797,35,60,0.0677689072838332,55,80,0.193290142658809,60,85
"L043",52.0125,56,0.0375139720521081,20,76,0.0814098332827044,36,92,0.255329789804488,36,92,0.846687712658273,27,83,0.510823089351567,26,82,0.0746733113745554,19,75,0.00185870114388044,19,75,0.260940228614679,26,82,0.0815845147853839,32,88,0.427631019280763,35,91,0.308637431979791,20,76,0.0444017279658701,32,88,0.118658388285524,33,89
"L044",54.9125,6,0.0486416476703188,29,35,0.0954615170857936,41,47,0.299470376189185,41,47,0.853312287341708,28,34,0.566988146000966,31,37,0.0914029521112046,27,33,0.00278483321821439,27,33,0.321475557705613,31,37,0.0969677783528343,41,47,0.336471690141731,21,27,0.337237168884354,32,38,0.0453560156933737,33,39,0.121639226055878,34,40
"L045",51.75,66,0.0418728114666005,26,92,0.0984591518969105,45,111,0.308860571504117,45,111,0.932860034061219,30,96,0.555157362436706,29,95,0.0780890426274184,20,86,0.00203263285948892,20,86,0.308199697067681,29,95,0.0989362691743337,43,109,0.371333170120538,27,93,0.330171400083431,28,94,0.0482166608537068,36,102,0.130732179679716,38,104
"L046",52.6125,35,0.144560487937474,63,98,0.0966978095361437,43,78,0.303318815580745,43,78,1.43547398121429,48,83,0.845429087927768,49,84,0.178667151363641,69,104,0.0106406503254661,69,104,0.714750342714377,49,84,0.104869528160263,47,82,0.519353498708194,44,79,0.600715384834147,61,96,0.0660973991844309,52,87,0.166768313112162,51,86
