"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"L017",1.61758035774721,32,0.042971000251074,76,108,0.100843048600076,77,109,0.438269355338858,77,109,0.505332185648763,70,102,0.311741776358052,76,108,0.142880348360995,76,108,0.00680493131591975,76,108,0.0971829351268738,76,108,0.100876844135679,77,109,0.51059821527129,75,107,0.314430763772253,76,108,0.0843945541407475,77,109,0.131379644876775,77,109
"L018",1.66115601571251,21.5,0.00530141956572191,27,48.5,0.0457675879836232,40,61.5,0.198898783656176,40,61.5,0.222683444002,36,57.5,0.120548059451766,28,49.5,0.0449468811020067,22,43.5,0.000673407373599308,22,43.5,0.0145318346375865,28,49.5,0.0457989966001184,40,61.5,0.201474695426162,30,51.5,0.100403465754642,26,47.5,0.031307158493442,29.5,51,0.0509865312438039,34,55.5
"L019",1.31083292462829,87,0.0184750139204595,56,143,0.0734434615099717,66,153,0.319181683015689,66,153,0.364435511031206,59,146,0.211697710727319,58,145,0.09059983017151,54,141,0.00273610974236882,54,141,0.0448159207271878,58,145,0.0734950764710823,66,153,0.349135379580655,60,147,0.211080302393402,57,144,0.0583909957696735,60,147,0.0919709453926469,64,151
"L020",1.45612762816117,58,0.00368822993843295,18,76,0.0277254418629676,23,81,0.12049803464404,23,81,0.140052393823116,18,76,0.0894952203288326,19,77,0.0427152599556918,20,78,0.000608197811027442,20,78,0.00800939446170628,19,77,0.0277425858464398,22,80,0.145622670908437,21,79,0.0933836380609109,23,81,0.0241093597369128,23,81,0.0371425737519611,24,82
"L021",1.42626078615193,66.5,0.00722224997586269,31,97.5,0.0409355831489598,36,102.5,0.177908472429149,36,102.5,0.203320274579438,31,97.5,0.127305377174718,37,103.5,0.0588845975927707,32,98.5,0.00115579861122084,32,98.5,0.0162066590575973,37,103.5,0.0409602493564904,36,102.5,0.208056403644463,37,103.5,0.131428857802442,34,100.5,0.0346768008357098,36,102.5,0.0537929404295007,39,105.5
"L022",1.37619641157624,76,0.125561547654852,91,167,0.158432617831273,93,169,0.688571537854463,93,169,0.799914826992966,91,167,0.519405660932841,93,169,0.250063053260704,88,164,0.0208438435353553,88,164,0.269782240609082,93,169,0.158486350651439,93,169,0.844877322179831,93,169,0.53212124941982,92,168,0.138022089240632,94,170,0.212560615842104,94,170
"L023",1.7563863446697,16,0.0280380451480551,64,80,0.0411726728942315,38,54,0.178999781058475,38,54,0.41236834950017,64,80,0.219638797133615,59,75,0.128024683051377,70,86,0.00546343982346854,70,86,0.0482412012063011,59,75,0.0411798598883579,38,54,0.344808663895096,58,74,0.196208704688675,54,70,0.0391679189379259,41,57,0.0544914306050161,41,57
"L024",1.13971088559947,98.5,0.0373767486704522,73,171.5,0.112555714398406,84,182.5,0.489154961779698,84,182.5,0.5542217428699,76,174.5,0.309770303344945,74,172.5,0.124818318071813,67,165.5,0.00519320417542543,67,165.5,0.095957640834419,74,172.5,0.112646716432325,84,182.5,0.513851354887434,77,175.5,0.294292752092261,75,173.5,0.0846845034400065,79,177.5,0.135026221963859,79.5,178
"L025",1.47791545714382,50,0.0183718939948056,54,104,0.0564696977951079,51,101,0.245430815446533,51,101,0.296476735857814,45,95,0.194909688408877,55,105,0.0972065973403422,56,106,0.00314970752216247,56,106,0.0379897866356457,55,105,0.0564878699567854,50,100,0.315341250685049,57,107,0.200397287069717,55,105,0.0506530575605656,57,107,0.0773391305684467,57,107
"L026",1.42626078615193,66.5,0.00722224997586276,32,98.5,0.0409355831489594,35,101.5,0.177908472429147,35,101.5,0.203320274579434,30,96.5,0.127305377174718,36,102.5,0.0588845975927713,33,99.5,0.00115579861122087,33,99.5,0.0162066590575973,36,102.5,0.0409602493564899,35,101.5,0.208056403644462,36,102.5,0.131428857802444,35,101.5,0.0346768008357099,37,103.5,0.0537929404295006,38,104.5
"L027",1.76446535769628,15,0.00868437228436435,40,55,0.0294985200540246,25,40,0.12822188098829,25,40,0.219914840855972,33,48,0.126246391251513,35,50,0.0700172970563469,44,59,0.00163414062902558,44,59,0.01593815130403,35,50,0.0295459243737217,24,39,0.199809842046181,28,43,0.133931364103596,36,51,0.0296213173013251,28,43,0.0433310450491178,27,42
"L028",1.825,10,0.111549790728321,89,99,0.0475568640911792,43,53,0.206768675277873,43,53,0.642654628027225,85,95,0.392814000182938,88,98,0.28826596630622,93,103,0.0276990891101528,93,103,0.154302838739721,88,98,0.0560502119673096,49,59,0.496550069765589,73,83,0.473022791590414,89,99,0.0652286960453029,66,76,0.0798161999444566,59,69
"L029",1.79433219970552,14,0.0082302029110214,39,53,0.0384673128605181,33,47,0.167186354600269,33,47,0.222493710653968,34,48,0.130691268728733,39,53,0.0652817033454235,39,53,0.00142056693055996,39,53,0.017080207721926,39,53,0.0385256393949747,33,47,0.21061004959344,38,52,0.142947890524255,40,54,0.0350646619806695,38,52,0.0533048122628565,37,51
"L030",1.64375,24,0.0259125672717638,61,85,0.066303786306853,58,82,0.288173576374677,58,82,0.335192349854553,56,80,0.230968825019897,60,84,0.115510424388639,62,86,0.00444755271414783,62,86,0.0533465981310718,60,84,0.0663039564253704,58,82,0.373862879850074,62,86,0.224581162785685,58,82,0.0584382512408417,61,85,0.0896619422365402,62,86
"L031",1.7547960482535,17,0.0354196069645381,69,86,0.1055126513595,79,96,0.458550029782651,79,96,0.525123051277147,74,91,0.297375689502187,72,89,0.123260343355662,64,81,0.00506437074805186,64,81,0.0884323007069012,72,89,0.105570224955297,79,96,0.492460194237447,72,89,0.287068559354409,71,88,0.0815650512510583,75,92,0.129361093023435,75,92
