"Lentil","PredictedMean","BLUP","Trait","ENV","grand_mean"
"L034",52.4556735373518,-0.742720033405412,"DTF","Clavet_2024",53.1983935707572
"L035",52.1090722266011,-1.08932134415611,"DTF","Clavet_2024",53.1983935707572
"L036",53.0274721071875,-0.170921463569698,"DTF","Clavet_2024",53.1983935707572
"L037",54.4831392954617,1.28474572470456,"DTF","Clavet_2024",53.1983935707572
"L038",54.3737724149084,1.17537884415118,"DTF","Clavet_2024",53.1983935707572
"L039",51.6595214261002,-1.53887214465698,"DTF","Clavet_2024",53.1983935707572
"L040",53.8520037872631,0.653610216505953,"DTF","Clavet_2024",53.1983935707572
"L041",53.3456601334165,0.147266562659318,"DTF","Clavet_2024",53.1983935707572
"L042",53.7534163367254,0.555022765968189,"DTF","Clavet_2024",53.1983935707572
"L043",53.3627594447524,0.164365873995195,"DTF","Clavet_2024",53.1983935707572
"L044",55.4105878418657,2.21219427110849,"DTF","Clavet_2024",53.1983935707572
"L045",52.9211901688608,-0.277203401896344,"DTF","Clavet_2024",53.1983935707572
"L046",53.4766567405526,0.278263169795395,"DTF","Clavet_2024",53.1983935707572
"L047",52.0428138435738,-1.15557972718336,"DTF","Clavet_2024",53.1983935707572
"L048",52.6406869413493,-0.557706629407875,"DTF","Clavet_2024",53.1983935707572
"L049",55.3302750084396,2.13188143768238,"DTF","Clavet_2024",53.1983935707572
"L050",51.9151937574084,-1.28319981334877,"DTF","Clavet_2024",53.1983935707572
"L051",52.8388045365521,-0.359589034205037,"DTF","Clavet_2024",53.1983935707572
"L052",54.3248537046872,1.12646013392998,"DTF","Clavet_2024",53.1983935707572
"L053",52.8248337408053,-0.373559829951887,"DTF","Clavet_2024",53.1983935707572
"L054",53.6579585557645,0.459564985007304,"DTF","Clavet_2024",53.1983935707572
"L055",52.6656256133442,-0.532767957412972,"DTF","Clavet_2024",53.1983935707572
"L056",53.1293892553642,-0.0690043153929452,"DTF","Clavet_2024",53.1983935707572
"L057",53.6114222998405,0.41302872908328,"DTF","Clavet_2024",53.1983935707572
"L058",55.2593103821999,2.0609168114427,"DTF","Clavet_2024",53.1983935707572
"L059",54.0267878986284,0.82839432787123,"DTF","Clavet_2024",53.1983935707572
"L060",52.0768038038431,-1.12158976691412,"DTF","Clavet_2024",53.1983935707572
"L061",53.8728427543889,0.674449183631687,"DTF","Clavet_2024",53.1983935707572
"L062",52.8765876405843,-0.321805930172886,"DTF","Clavet_2024",53.1983935707572
"L063",52.2507121245917,-0.947681446165518,"DTF","Clavet_2024",53.1983935707572
"L064",52.2830212767966,-0.915372293960615,"DTF","Clavet_2024",53.1983935707572
"L065",52.9083503993333,-0.290043171423925,"DTF","Clavet_2024",53.1983935707572
"L066",54.5704660308879,1.37207246013072,"DTF","Clavet_2024",53.1983935707572
"L067",52.4099877841034,-0.788405786653804,"DTF","Clavet_2024",53.1983935707572
"L068",55.0895444853954,1.8911509146382,"DTF","Clavet_2024",53.1983935707572
"L069",52.928724800645,-0.269668770112226,"DTF","Clavet_2024",53.1983935707572
"L070",52.085994964586,-1.11239860617123,"DTF","Clavet_2024",53.1983935707572
"L071",54.6135851457074,1.41519157495026,"DTF","Clavet_2024",53.1983935707572
"L072",51.9368065605192,-1.261587010238,"DTF","Clavet_2024",53.1983935707572
"L073",52.386168197547,-0.81222537321019,"DTF","Clavet_2024",53.1983935707572
"L074",52.0722625132655,-1.12613105749169,"DTF","Clavet_2024",53.1983935707572
"L075",52.1312804940542,-1.06711307670295,"DTF","Clavet_2024",53.1983935707572
"L076",51.8272586105965,-1.3711349601607,"DTF","Clavet_2024",53.1983935707572
"L077",52.0027789836091,-1.19561458714808,"DTF","Clavet_2024",53.1983935707572
"L078",52.3313064696594,-0.867087101097795,"DTF","Clavet_2024",53.1983935707572
"L079",52.7979709044636,-0.400422666293537,"DTF","Clavet_2024",53.1983935707572
"L080",52.724007638641,-0.474385932116171,"DTF","Clavet_2024",53.1983935707572
"L081",52.8885780749587,-0.309815495798489,"DTF","Clavet_2024",53.1983935707572
"L082",51.8603791654901,-1.33801440526713,"DTF","Clavet_2024",53.1983935707572
"L083",52.3587500790362,-0.839643491720963,"DTF","Clavet_2024",53.1983935707572
"L084",52.8446602538011,-0.353733316956081,"DTF","Clavet_2024",53.1983935707572
"L085",51.7901418164173,-1.40825175433984,"DTF","Clavet_2024",53.1983935707572
"L086",52.9719977243106,-0.22639584644655,"DTF","Clavet_2024",53.1983935707572
"L087",51.7869038637524,-1.4114897070048,"DTF","Clavet_2024",53.1983935707572
"L088",52.2570306176868,-0.941362953070417,"DTF","Clavet_2024",53.1983935707572
"L089",53.1543798641635,-0.0440137065936952,"DTF","Clavet_2024",53.1983935707572
"L090",52.951791211023,-0.246602359734183,"DTF","Clavet_2024",53.1983935707572
"L091",52.1898015250171,-1.0085920457401,"DTF","Clavet_2024",53.1983935707572
"L092",51.8377471399838,-1.36064643077341,"DTF","Clavet_2024",53.1983935707572
"L093",54.0628908227276,0.86449725197042,"DTF","Clavet_2024",53.1983935707572
