Genotype,dev_year,cot_color,Hunter2024_DTE,Hunter2024_DTF,Hunter2024_VegP,Hunter2024_DTM,Hunter2024_RepP,Hunter2024_lodging,Hunter2024_YLD,Hunter2024_PRT,Clavet2024_DTE,Clavet2024_DTF,Clavet2024_VegP,Clavet2024_DTM,Clavet2024_RepP,Clavet2024_lodging,Clavet2024_YLD,Clavet2024_PRT,Clavet2025_DTE,Clavet2025_DTF,Clavet2025_VegP,Clavet2025_lodging,Clavet2025_YLD,Clavet2025_PRT,Clavet2025_DS,Hunter2025_DTE,Hunter2025_DTF,Hunter2025_VegP,Hunter2025_DTM,Hunter2025_RepP,Hunter2025_lodging,Hunter2025_YLD,Hunter2025_PRT,Hunter2025_DS
L044,2026,yellow,12.74716468,50.40715328,36.46800498,83.13976808,32.83710056,3.703911096,461.44353,26.34717279,14.7515205,55.60348298,40.80759243,88.48480245,33.14892671,2.460017174,466.6390671,26.01090458,11.13078862,57.98777766,46.83748283,2.397112943,1142.706669,24.48303655,1.272025584,16.0186299,56.40431077,40.42739701,95.03304547,38.6319715,3.089904422,1380.170718,25.10360807,1.171700893
L045,2027,yellow,12.68636086,46.36220717,32.530824,83.7327795,37.4766369,3.946128148,575.2523822,25.95495032,14.74240295,53.08840398,38.35148362,89.35462128,36.44269555,3.178658694,561.089372,25.60870739,11.06043933,54.79559712,43.76781748,2.271995756,1229.5412,24.29140565,1.487637644,15.99316615,53.6464619,37.77650625,95.38463251,41.21570016,3.237140157,1464.894485,25.04963664,1.170966401
L046,2027,yellow,12.74364315,47.77815174,33.93366505,80.97158153,33.13161921,3.733121726,576.6665828,25.87574154,14.72300378,53.61132507,38.91043447,87.35835022,33.94289978,3.217929028,739.676542,25.40326979,11.03757259,55.30597673,44.31367149,2.575276922,1258.854642,24.41913517,1.494868538,16.02959951,55.07448092,39.04393178,95.11905915,39.85701622,2.889208426,1577.093561,24.80559701,1.171136682
L047,2026,yellow,12.74751163,46.75632439,32.83786157,84.59327431,37.7707823,4.356322446,561.1922129,24.70299555,14.73903291,52.18586848,37.45069162,88.33174281,36.24962,4.444996991,619.9738443,24.1577264,10.95621704,54.88840881,43.96064306,3.174329713,1184.773046,23.40266925,1.596600097,15.8778111,53.05632073,37.55394989,94.11808523,40.59088487,3.737221777,1324.579142,23.47384861,1.198210755
L048,2026,yellow,12.82138842,46.99127677,32.91796055,80.73704565,33.74521523,4.07398021,637.6073,23.70929802,14.73777437,52.77560515,38.03097905,86.52420879,33.92852289,3.037240491,746.5289986,23.23260102,11.1580137,54.85857552,43.72657862,2.32302761,1356.790971,22.69612493,1.399689981,16.01612809,52.69968828,36.74353068,94.15594701,40.94500821,2.985587522,1497.977824,23.69084958,1.192340089
L049,2026,red,12.71893848,49.9410281,36.07714941,81.58640675,31.70122369,2.518224575,517.6927169,25.67243462,14.74435451,55.50357852,40.7126088,87.34911102,32.12656285,2.030441734,609.3387979,25.28124471,11.20807275,57.49185294,46.27340434,2.007545902,1311.746726,23.38599719,1.162531109,16.07454559,55.68872846,39.52620753,95.74931391,39.77814156,2.389958139,1665.066931,24.7205005,1.129426675
L050,2027,red,12.83326083,44.8815996,30.8022716,80.24955675,35.24683033,3.061244285,693.8439934,26.70574178,14.75923592,52.09193713,37.31513813,86.55628995,34.62369385,1.946090052,705.1499417,26.48679544,11.08039954,54.25590806,43.22856035,1.474229338,1316.84369,26.47011328,1.550733671,15.97870405,54.14167575,38.26747494,92.93259234,38.62853525,2.568522234,1588.134075,25.99030801,1.165606106
L051,2027,yellow,12.7654207,47.2496431,33.22643336,80.1976836,32.87523549,4.288807059,445.3829006,25.59424971,14.82508753,53.01963426,38.06331847,86.69271318,33.85147774,3.383633083,526.5437254,25.20738509,11.02832991,55.0768906,44.069037,2.161206105,1384.962202,25.01320308,1.432471468,16.01820177,53.64512667,37.66776085,92.22040542,38.28634031,2.885543217,1439.704684,25.83569323,1.175891593
L052,2027,red,12.808637,48.84070743,34.85785941,82.57790638,33.85933694,3.843705288,687.7926998,24.697953,14.7619878,54.48759853,39.69690088,87.3525841,33.16739925,2.988164652,742.786932,24.28323944,11.17630208,56.22165393,45.05009644,3.006848082,1122.931226,22.80966858,1.616848619,16.03016829,55.5757785,39.56539405,92.77631936,37.3405952,3.227643772,1481.003093,24.75906589,1.176666402
L053,2027,yellow,12.70946322,47.66182878,33.8216317,82.44127838,34.83263133,4.30643327,394.6553995,24.6116504,14.76391296,52.98716008,38.19239675,88.38778912,35.55041694,4.515115883,514.9622527,23.74629351,10.82792654,55.62263433,44.86154164,3.150805922,1148.578041,22.72922877,1.345787189,15.94758451,53.5150004,37.79167603,94.05049759,40.09626298,3.532760736,1426.768641,23.02745755,1.176473831
